Title	Link
Parcel: Fast, zero configuration web application bundler	https://github.com/parcel-bundler/parcel
Found: 14,400-Year-Old Flatbread Remains That Predate Agriculture	https://www.atlasobscura.com/articles/worlds-oldest-bread
Potential DNA damage from CRISPR has been ‘seriously underestimated’ study finds	https://www.statnews.com/2018/07/16/crispr-potential-dna-damage-underestimated/
El Fuego Viviente Chili Sauce	https://github.com/aweijnitz/recipe-el_fuego_viviente
How thick is the atmosphere? A derivation of the Boltzmann distribution	https://gravityandlevity.wordpress.com/2018/07/14/how-thick-is-the-atmosphere-a-derivation-of-the-boltmzann-distribution/amp/
How two strangers set up Dropbox and made billions	https://www.bbc.co.uk/news/business-44766487
Supercharging the Git Commit Graph IV: Bloom Filters	https://blogs.msdn.microsoft.com/devops/2018/07/16/super-charging-the-git-commit-graph-iv-bloom-filters/
Coinbase reportedly gets approval from US regulators for tokenized securities	https://techcrunch.com/2018/07/16/coinbase-reportedly-gets-approval-from-u-s-regulators-to-start-listing-tokenized-securities/
The Theory of Interstellar Trade	http://fermatslibrary.com/s/the-theory-of-interstellar-trade
My adventures getting Disney’s Moana island scene to render well with Pbrt	http://pharr.org/matt/blog/2018/07/16/moana-island-pbrt-all.html
Tutorial: Designing a GraphQL API	https://gist.github.com/swalkinshaw/3a33e2d292b60e68fcebe12b62bbb3e2
SwiftTLS – A TLS implementation in Swift	https://github.com/nsc/SwiftTLS
China expands surveillance of sewage to police illegal drug use	https://www.nature.com/articles/d41586-018-05728-3
Three Generations of Asynchronous Microprocessors (2003) [pdf]	http://mail.async.caltech.edu/Pubs/PDF/2003_threegen.pdf
Japan's Ninja Shortage	https://www.npr.org/sections/money/2018/07/16/629586025/japan-s-ninja-shortage
Perceptrons from memristors	https://arxiv.org/abs/1807.04912
Transcriptic (YC W15) is hiring software engineers	https://www.transcriptic.com/hiring/?gh_jid=1236117
Monge's theorem	https://en.wikipedia.org/wiki/Monge%27s_theorem
Prime Down: Amazon’s sale day turns into fail day	https://techcrunch.com/2018/07/16/prime-down-amazons-sale-day-turns-into-fail-day/
The Power of Positive People	https://www.nytimes.com/2018/07/10/well/the-power-of-positive-people.html
Tigress Protection Challenge	https://github.com/JonathanSalwan/Tigress_protection
The Turn (1993)	https://www.theatlantic.com/past/docs/unbound/langew/turn.htm?single_page=true
Why Gov.uk content should be published in HTML and not PDF	https://gds.blog.gov.uk/2018/07/16/why-gov-uk-content-should-be-published-in-html-and-not-pdf/
Happy 25th Anniversary Slackware Linux	http://www.slackware.com/announce/1.0.php
To Make Sense of the Present, Brains May Predict the Future	https://www.quantamagazine.org/to-make-sense-of-the-present-brains-may-predict-the-future-20180710/
Twitch streamers who spend years broadcasting to no one	https://www.theverge.com/2018/7/16/17569520/twitch-streamers-zero-viewers-motivation-community
UK spaceport proposed for Sutherland site	https://www.bbc.co.uk/news/uk-scotland-highlands-islands-44839536
Think everyone died young in ancient societies? Think again	https://aeon.co/ideas/think-everyone-died-young-in-ancient-societies-think-again
Improving Connectomics by an Order of Magnitude	https://ai.googleblog.com/2018/07/improving-connectomics-by-order-of.html
Launch HN: Dinesafe (YC S18) – Crowdsourcing Food Poisoning Reports	item?id=17542803
